iter	Passed	Remaining
290	688	1678
291	690	1673
292	691	1669
293	693	1665
294	694	1660
295	696	1656
296	698	1652
297	700	1649
298	702	1646
299	703	1642
300	705	1638
301	707	1634
302	708	1629
303	710	1625
304	711	1621
305	713	1618
306	715	1616
307	717	1612
308	719	1608
309	721	1605
310	723	1602
311	725	1599
312	727	1596
313	730	1595
314	732	1592
315	734	1589
316	735	1585
317	737	1581
318	739	1577
319	740	1573
320	742	1570
321	744	1567
322	746	1564
323	747	1560
324	749	1556
325	751	1552
326	752	1549
327	754	1545
328	756	1541
329	758	1539
330	759	1535
331	761	1532
332	762	1528
333	764	1524
334	766	1520
335	767	1517
336	769	1513
337	772	1512
338	773	1508
339	775	1505
340	776	1501
341	778	1497
342	780	1494
343	781	1490
344	783	1487
345	785	1485
346	787	1482
347	789	1479
348	791	1475
349	792	1472
350	794	1468
351	795	1465
352	797	1461
353	799	1458
354	801	1456
355	803	1452
356	804	1449
357	806	1446
358	808	1442
359	809	1439
360	811	1436
361	813	1433
362	815	1431
363	817	1427
364	818	1424
365	820	1420
366	821	1417
367	823	1413
368	824	1410
369	826	1406
370	828	1404
371	830	1401
372	831	1398
373	833	1394
374	834	1391
375	836	1387
376	837	1383
377	838	1380
378	840	1376
379	841	1373
380	843	1371
381	845	1367
382	846	1364
383	848	1360
384	849	1356
385	850	1353
386	852	1349
387	853	1346
388	855	1343
389	857	1340
390	859	1338
391	860	1335
392	862	1331
393	863	1328
394	865	1324
395	866	1321
396	867	1318
397	869	1314
398	871	1312
399	873	1309
400	874	1306
401	876	1303
402	877	1299
403	878	1296
404	880	1293
405	881	1290
406	883	1286
407	884	1283
408	886	1281
409	888	1278
410	889	1275
411	891	1272
412	892	1268
413	894	1265
414	895	1262
415	896	1259
416	898	1255
417	900	1253
418	902	1251
419	903	1247
420	905	1245
421	906	1241
422	908	1238
423	909	1235
424	911	1233
425	913	1230
426	915	1228
427	917	1226
428	918	1223
429	920	1220
430	921	1217
431	923	1214
432	924	1211
433	926	1208
434	928	1205
435	930	1203
436	931	1200
437	933	1197
438	934	1194
439	936	1191
440	937	1188
441	939	1185
442	940	1182
443	942	1180
444	944	1178
445	946	1175
446	947	1172
447	949	1169
448	950	1166
449	952	1163
450	953	1160
451	955	1157
452	956	1155
453	958	1153
454	960	1150
455	961	1147
456	963	1144
457	964	1141
458	966	1139
459	968	1136
460	969	1133
461	975	1135
462	976	1133
463	978	1130
464	979	1127
465	981	1124
466	982	1121
467	984	1119
468	986	1116
469	987	1114
470	989	1111
471	991	1108
472	992	1105
473	994	1103
474	996	1101
475	998	1098
476	999	1096
477	1001	1093
478	1003	1091
479	1004	1088
480	1006	1086
481	1008	1083
482	1009	1080
483	1011	1078
484	1014	1076
485	1016	1074
486	1017	1072
487	1019	1069
488	1021	1067
489	1025	1066
490	1026	1064
491	1029	1062
492	1032	1061
493	1033	1059
494	1035	1056
495	1037	1054
496	1039	1051
497	1040	1049
498	1042	1046
499	1045	1045
500	1047	1043
501	1049	1041
502	1051	1039
503	1053	1036
504	1054	1033
505	1056	1031
506	1058	1029
507	1060	1026
508	1061	1024
509	1063	1021
510	1064	1018
511	1066	1016
512	1067	1013
513	1069	1011
514	1071	1008
515	1073	1006
516	1074	1004
517	1076	1001
518	1077	998
519	1079	996
520	1080	993
521	1082	991
522	1084	988
523	1086	986
524	1088	985
525	1091	983
526	1093	981
527	1096	980
528	1098	977
529	1100	975
530	1102	973
531	1103	971
532	1105	968
533	1106	965
534	1108	963
535	1109	960
536	1111	958
537	1112	955
538	1114	953
539	1117	951
540	1118	949
541	1120	947
542	1122	944
543	1124	942
544	1126	940
545	1127	937
546	1129	935
547	1132	933
548	1133	931
549	1135	928
550	1136	926
551	1138	923
552	1139	921
553	1141	918
554	1143	917
555	1145	914
556	1147	912
557	1148	909
558	1150	907
559	1151	904
560	1152	902
561	1154	899
562	1155	897
563	1157	894
564	1159	892
565	1160	890
566	1162	887
567	1163	884
568	1165	882
569	1166	880
570	1168	877
571	1169	875
572	1171	872
573	1173	870
574	1174	868
575	1176	865
576	1177	863
577	1178	860
578	1180	858
579	1181	855
580	1183	853
581	1184	850
582	1187	849
583	1189	847
584	1190	844
585	1192	842
586	1193	839
587	1194	837
588	1196	834
589	1198	832
590	1200	830
591	1202	828
592	1203	826
593	1205	823
594	1206	821
595	1207	818
596	1209	816
597	1211	814
598	1212	811
599	1214	809
600	1216	807
601	1218	805
602	1220	803
603	1221	800
604	1222	798
605	1224	795
606	1225	793
607	1226	791
608	1228	788
609	1230	786
610	1231	784
611	1233	781
612	1234	779
613	1235	777
614	1237	774
615	1238	772
616	1239	769
617	1241	767
618	1243	765
619	1245	763
620	1246	760
621	1248	758
622	1249	756
623	1250	753
624	1252	751
625	1253	748
626	1254	746
627	1255	743
628	1257	741
629	1259	739
630	1260	737
631	1262	734
632	1263	732
633	1264	730
634	1265	727
635	1267	725
636	1268	722
637	1269	720
638	1271	718
639	1276	717
640	1277	715
641	1279	713
642	1280	710
643	1281	708
644	1282	706
645	1284	703
646	1286	701
647	1288	699
648	1289	697
649	1291	695
650	1292	692
651	1293	690
652	1295	688
653	1296	685
654	1297	683
655	1299	681
656	1300	679
657	1302	676
658	1303	674
659	1305	672
660	1306	670
661	1307	667
662	1309	665
663	1310	663
664	1311	660
665	1312	658
666	1314	656
667	1316	654
668	1317	652
669	1319	649
670	1320	647
671	1322	645
672	1323	643
673	1325	640
674	1326	638
675	1328	636
676	1330	634
677	1331	632
678	1333	630
679	1334	628
680	1335	625
681	1337	623
682	1338	621
683	1340	619
684	1341	616
685	1343	615
686	1345	613
687	1346	610
688	1348	608
689	1349	606
690	1350	604
691	1352	601
692	1354	599
693	1355	597
694	1357	595
695	1359	593
696	1360	591
697	1361	589
698	1363	587
699	1364	584
700	1366	582
701	1367	580
702	1368	578
703	1369	575
704	1371	573
705	1373	571
706	1374	569
707	1376	567
708	1377	565
709	1379	563
710	1380	561
711	1382	559
712	1383	557
713	1385	554
714	1386	552
715	1388	550
716	1390	548
717	1391	546
718	1393	544
719	1394	542
720	1395	540
721	1397	538
722	1398	535
723	1400	533
724	1401	531
725	1403	529
726	1404	527
727	1406	525
728	1407	523
729	1408	521
730	1409	518
731	1411	516
732	1412	514
733	1413	512
734	1415	510
735	1416	508
736	1418	506
737	1419	503
738	1420	501
739	1422	499
740	1423	497
741	1424	495
742	1425	493
743	1427	491
744	1429	489
745	1430	487
746	1432	485
747	1433	483
748	1435	480
749	1436	478
750	1438	476
751	1439	474
752	1441	472
753	1442	470
754	1444	468
755	1446	466
756	1448	464
757	1450	463
758	1452	461
759	1455	459
760	1456	457
761	1458	455
762	1460	453
763	1462	451
764	1464	449
765	1465	447
766	1467	445
767	1468	443
768	1470	441
769	1472	439
770	1473	437
771	1475	435
772	1476	433
773	1478	431
774	1479	429
775	1481	427
776	1482	425
777	1484	423
778	1485	421
779	1487	419
780	1488	417
781	1490	415
782	1492	413
783	1493	411
784	1494	409
785	1496	407
786	1497	405
787	1498	403
788	1500	401
789	1502	399
790	1503	397
791	1504	395
792	1506	393
793	1507	391
794	1509	389
795	1510	387
796	1511	385
797	1513	383
798	1515	381
799	1516	379
800	1518	377
801	1519	375
802	1520	373
803	1521	371
804	1523	368
805	1524	366
806	1525	364
807	1527	362
808	1528	360
809	1530	359
810	1531	357
811	1533	355
812	1535	353
813	1537	351
814	1539	349
815	1541	347
816	1543	345
817	1546	343
818	1547	342
819	1549	340
820	1555	339
821	1559	337
822	1562	336
823	1565	334
824	1569	332
825	1572	331
826	1575	329
827	1578	327
828	1582	326
829	1589	325
830	1592	323
831	1596	322
832	1599	320
833	1603	319
834	1606	317
835	1610	315
836	1613	314
837	1618	312
838	1619	310
839	1621	308
840	1622	306
841	1624	304
842	1625	302
843	1626	300
844	1628	298
845	1631	296
846	1632	294
847	1634	292
848	1635	290
849	1637	288
850	1638	286
851	1640	284
852	1641	282
853	1643	280
854	1644	278
855	1646	276
856	1647	274
857	1649	272
858	1650	270
859	1652	268
860	1653	266
861	1654	264
862	1656	262
863	1658	261
864	1659	259
865	1661	257
866	1662	255
867	1664	253
868	1665	251
869	1666	249
870	1668	247
871	1669	245
872	1671	243
873	1673	241
874	1674	239
875	1675	237
876	1677	235
877	1678	233
878	1679	231
879	1681	229
880	1682	227
881	1683	225
882	1685	223
883	1687	221
884	1688	219
885	1689	217
886	1691	215
887	1692	213
888	1694	211
889	1695	209
890	1696	207
891	1698	205
892	1700	203
893	1701	201
894	1703	199
895	1705	197
896	1706	195
897	1708	194
898	1709	192
899	1710	190
900	1712	188
901	1715	186
902	1716	184
903	1718	182
904	1720	180
905	1721	178
906	1723	176
907	1724	174
908	1726	172
909	1728	170
910	1729	168
911	1732	167
912	1733	165
913	1735	163
914	1736	161
915	1738	159
916	1740	157
917	1741	155
918	1743	153
919	1744	151
920	1746	149
921	1748	147
922	1749	145
923	1751	144
924	1752	142
925	1753	140
926	1755	138
927	1757	136
928	1758	134
929	1760	132
930	1761	130
931	1763	128
932	1764	126
933	1766	124
934	1767	122
935	1769	120
936	1771	119
937	1773	117
938	1774	115
939	1776	113
940	1777	111
941	1779	109
942	1780	107
943	1782	105
944	1783	103
945	1785	101
946	1787	100
947	1788	98
948	1790	96
949	1791	94
950	1793	92
951	1794	90
952	1795	88
953	1797	86
954	1798	84
955	1800	82
956	1802	80
957	1803	79
958	1805	77
959	1806	75
960	1808	73
961	1810	71
962	1813	69
963	1815	67
964	1817	65
965	1818	64
966	1820	62
967	1821	60
968	1822	58
969	1824	56
970	1825	54
971	1827	52
972	1829	50
973	1830	48
974	1832	46
975	1833	45
976	1834	43
977	1836	41
978	1837	39
979	1839	37
980	1840	35
981	1842	33
982	1844	31
983	1845	30
984	1847	28
985	1848	26
986	1850	24
987	1851	22
988	1852	20
989	1854	18
990	1855	16
991	1857	14
992	1858	13
993	1860	11
994	1861	9
995	1863	7
996	1865	5
997	1866	3
998	1868	1
999	1869	0
